school_name,official_school_website,twitter,facebook
Concordia (TX),https://athletics.concordia.edu,https://twitter.com/@CTXAthletics,https://facebook.com/CTXAthletics
Concordia (Wis.),https://cuwfalcons.com,https://twitter.com/@CUWFalcons,https://facebook.com/CUWFalcons
Connecticut Col.,https://camelathletics.com,https://twitter.com/@ConnCollege,https://facebook.com/ConnecticutCollege
Converse,https://converse.edu/athletics,https://facebook.com/ConverseCollege,
Coppin St.,https://coppinstatesports.com,https://twitter.com/@coppinsports,"https://facebook.com/pages/Coppin-State-Sports/233862590118738?ref=hl"""
Cornell,https://cornellbigred.com,https://twitter.com/@cornellsports,https://facebook.com/cornellathletics
Cornell College,https://cornellrams.com,https://twitter.com/@RamAthletics,https://facebook.com/pages/Cornell-College-Ram-Athletics/193998220642433?fref=ts
Covenant,https://athletics.covenant.edu,https://twitter.com/@CovenantScots,https://facebook.com/CovenantScots
Creighton,https://gocreighton.com,https://twitter.com/@GoCreighton,https://facebook.com/GoCreighton
Crown (MN),https://athletics.crown.edu,https://twitter.com/@CrownPolars,https://facebook.com/people/Crown-College-Polars/100086623232969/
Curry,https://curryathletics.com,https://twitter.com/@CurryEdu,https://facebook.com/currycollege
Daemen,https://daemenwildcats.com,https://twitter.com/@DaemenAthletics,https://facebook.com/daemencollegeathletics
Dallas,https://udallasathletics.com,https://twitter.com/@UDallasSports,https://facebook.com/UDallasAthletics
Dallas Baptist,https://dbupatriots.com,https://twitter.com/@dbuathletics,https://facebook.com/DallasBaptistUniv
Dartmouth,https://dartmouthsports.com,https://twitter.com/@DartmouthSports,https://facebook.com/DartmouthSports
Davenport,https://https://dupanthers.com/,https://twitter.com/@DUAthletics,https://facebook.com/DUAthletics
Davidson,https://davidsonwildcats.com,https://twitter.com/@DavidsonWildcat,https://facebook.com/DavidsonWildcats
Davis & Elkins,https://senatornation.com,https://twitter.com/@SenatorNation,https://facebook.com/SenatorNation/
Dayton,https://daytonflyers.com,https://twitter.com/@DaytonFlyers,https://facebook.com/WeAreUD
Dean College,https://deanbulldogs.com,https://twitter.com/@DeanAthletics,https://facebook.com/DeanAthletics
Defiance,https://defianceathletics.com/,https://twitter.com/@DC_Athletics,https://facebook.com/pages/Defiance-Athletics/107749102607734
Delaware,https://bluehens.com,https://twitter.com/@UDBlueHens,https://facebook.com/DelawareBlueHens
Delaware St.,https://dsuhornets.com/,https://twitter.com/@DSUAthletics,https://facebook.com/DSUAthletics
Delaware Valley,https://delval.edu/athletics,https://twitter.com/@delvalaggies,https://facebook.com/pages/Delaware-Valley-College-Athletics/159098644163241
Delta St.,https://gostatesmen.com,https://twitter.com/@dsustatesmen,https://facebook.com/dsustatesmen
Denison,https://denisonbigred.com,https://twitter.com/@denisonsports,https://facebook.com/denisonsports
Denver,https://denverpioneers.com/,https://twitter.com/@DU_Pioneers,https://facebook.com/DenverPioneers
DePaul,https://depaulbluedemons.com,https://twitter.com/@DepaulAthletics,https://facebook.com/DePaulBlueDemons
DePauw,https://depauwtigers.com/landing/index,https://twitter.com/@DePauwAthletics,https://facebook.com/DePauwAthletics
DeSales,https://athletics.desales.edu,https://twitter.com/@DSUBulldogs,https://facebook.com/BulldogAthletics
Detroit,https://detroittitans.com,https://twitter.com/@detroittitans,https://facebook.com/UDMTitans
Dickinson,https://dickinsonathletics.com,https://twitter.com/@DsonRedDevils,https://facebook.com/DickinsonRedDevils
Dist. Columbia,https://udcfirebirds.com,https://twitter.com/@UDCFirebirdFans,https://facebook.com/pages/UDC-Athletics/114808328560915
Dominican (Cal.),https://dominicanathletics.com,https://twitter.com/@dominicansports,https://facebook.com/dominicanathletics
Dominican (IL),https://dustars.com,https://twitter.com/@DU_Stars,https://facebook.com/DomStars
Dominican (NY),https://chargerathletics.com,https://twitter.com/@ChargersofDC,https://facebook.com/DominicanChargerAthletics
Drake,https://godrakebulldogs.com,https://twitter.com/@dubulldogs,https://facebook.com/DrakeAthletics
Drew,https://drewrangers.com,https://twitter.com/@GoDrewRangers,https://facebook.com/DrewRangers
Drexel,https://drexeldragons.com,https://twitter.com/@drexeldragons,https://facebook.com/DrexelDragonsAthletics
Drury,https://drurypanthers.com,https://twitter.com/@drurypanthers,https://facebook.com/pages/Drury-University-Athletics/105607680813?ref=ts
Dubuque,https://www.dbq.edu/athletics,https://twitter.com/@UDubuqueSports,https://facebook.com/pages/University-of-Dubuque-Football/147400845318392
Duke,https://goduke.com,https://twitter.com/@DukeATHLETICS,https://facebook.com/DukeAthletics
Duquesne,https://goduquesne.com,https://twitter.com/@GoDuquesne,https://facebook.com/GoDuquesne
D'Youville,https://athletics.dyc.edu,https://twitter.com/@DYCAthletics,https://facebook.com/dycathletics2
Earlham,https://goearlham.com,https://twitter.com/@EarlhamQuakers,https://facebook.com/earlhamcollege
