,school,ncaa_team_url,school_website_url
146,Georgia Tech,https://stats.ncaa.org/teams/574075,http://www.ramblinwreck.com
147,Georgia,https://stats.ncaa.org/teams/574076,http://www.georgiadogs.com
148,Gonzaga,https://stats.ncaa.org/teams/574077,http://www.gozags.com
149,Grambling,https://stats.ncaa.org/teams/574078,http://www.gsutigers.com
150,Harvard,https://stats.ncaa.org/teams/574080,http://gocrimson.com
151,Hawaii,https://stats.ncaa.org/teams/574081,https://hawaiiathletics.com
152,Hofstra,https://stats.ncaa.org/teams/574082,http://www.gohofstra.com
153,Holy Cross,https://stats.ncaa.org/teams/574083,http://goholycross.com/
154,Houston Christian,https://stats.ncaa.org/teams/574084,http://www.hbuhuskies.com
155,Houston,https://stats.ncaa.org/teams/574085,http://www.uhcougars.com
156,Illinois St.,https://stats.ncaa.org/teams/574086,http://GoRedbirds.com
157,Illinois,https://stats.ncaa.org/teams/574087,http://www.fightingillini.com
158,UIC,https://stats.ncaa.org/teams/574088,http://www.uicflames.com
159,Indiana St.,https://stats.ncaa.org/teams/574089,http://www.gosycamores.com
160,Indiana,https://stats.ncaa.org/teams/574090,http://www.iuhoosiers.com
161,Purdue Fort Wayne,https://stats.ncaa.org/teams/574091,http://www.gomastodons.com/
162,Iona,https://stats.ncaa.org/teams/574092,http://www.ionagaels.com
163,Iowa,https://stats.ncaa.org/teams/574093,http://www.hawkeyesports.com
164,Jackson St.,https://stats.ncaa.org/teams/574094,http://www.gojsutigers.com
165,Jacksonville St.,https://stats.ncaa.org/teams/574095,http://www.jsugamecocksports.com
166,Jacksonville,https://stats.ncaa.org/teams/574096,http://www.judolphins.com
167,James Madison,https://stats.ncaa.org/teams/574097,http://www.jmusports.com
168,Kansas St.,https://stats.ncaa.org/teams/574098,http://www.kstatesports.com
169,Kansas,https://stats.ncaa.org/teams/574099,http://kuathletics.com
170,Kent St.,https://stats.ncaa.org/teams/574100,http://www.kentstatesports.com
171,Kentucky,https://stats.ncaa.org/teams/574101,http://www.ukathletics.com
172,Lafayette,https://stats.ncaa.org/teams/574102,http://www.goleopards.com
173,Lamar University,https://stats.ncaa.org/teams/574103,http://www.lamarcardinals.com
174,Lehigh,https://stats.ncaa.org/teams/574104,http://www.lehighsports.com
175,Liberty,https://stats.ncaa.org/teams/574105,http://www.LibertyFlames.com
176,LIU,https://stats.ncaa.org/teams/574106,http://www.liuathletics.com
177,Longwood,https://stats.ncaa.org/teams/574107,http://longwoodlancers.com
178,LSU,https://stats.ncaa.org/teams/574108,http://www.lsusports.net
179,Louisiana Tech,https://stats.ncaa.org/teams/574109,http://www.latechsports.com/
180,Louisville,https://stats.ncaa.org/teams/574110,http://www.gocards.com
181,UMass Lowell,https://stats.ncaa.org/teams/574111,http://www.goriverhawks.com
182,LMU (CA),https://stats.ncaa.org/teams/574112,http://www.LMULions.com
183,Maine,https://stats.ncaa.org/teams/574113,http://goblackbears.com
184,Manhattan,https://stats.ncaa.org/teams/574114,http://www.gojaspers.com
185,Marist,https://stats.ncaa.org/teams/574115,http://goredfoxes.com
186,Marshall,https://stats.ncaa.org/teams/574116,http://www.herdzone.com
187,UMBC,https://stats.ncaa.org/teams/574117,http://UMBCRetrievers.com
188,Maryland,https://stats.ncaa.org/teams/574118,http://www.umterps.com
189,UMES,https://stats.ncaa.org/teams/574119,https://easternshorehawks.com/
190,Massachusetts,https://stats.ncaa.org/teams/574120,http://www.umassathletics.com
191,McNeese,https://stats.ncaa.org/teams/574121,http://www.mcneesesports.com
192,Memphis,https://stats.ncaa.org/teams/574122,http://www.gotigersgo.com
193,Mercer,https://stats.ncaa.org/teams/574123,http://www.mercerbears.com
194,Miami (OH),https://stats.ncaa.org/teams/574124,http://www.miamiredhawks.com
195,Miami (FL),https://stats.ncaa.org/teams/574125,https://miamihurricanes.com/
196,Michigan St.,https://stats.ncaa.org/teams/574126,http://msuspartans.com/
197,Michigan,https://stats.ncaa.org/teams/574127,http://www.mgoblue.com
198,Middle Tenn.,https://stats.ncaa.org/teams/574128,http://www.goblueraiders.com
199,Minnesota,https://stats.ncaa.org/teams/574129,http://www.gophersports.com
200,Mississippi St.,https://stats.ncaa.org/teams/574130,http://www.hailstate.com
201,Mississippi Val.,https://stats.ncaa.org/teams/574131,http://www.mvsusports.com
202,Ole Miss,https://stats.ncaa.org/teams/574132,http://www.olemisssports.com
203,Missouri,https://stats.ncaa.org/teams/574133,http://www.mutigers.com
204,Monmouth,https://stats.ncaa.org/teams/574134,http://www.monmouthhawks.com
205,Morehead St.,https://stats.ncaa.org/teams/574135,http://www.msueagles.com
206,Mount St. Mary's,https://stats.ncaa.org/teams/574136,http://www.mountathletics.com
207,Murray St.,https://stats.ncaa.org/teams/574137,http://www.goracers.com
208,UNC Asheville,https://stats.ncaa.org/teams/574138,http://www.uncabulldogs.com
209,North Carolina,https://stats.ncaa.org/teams/574139,http://www.goheels.com
210,Charlotte,https://stats.ncaa.org/teams/574140,http://www.charlotte49ers.com
211,UNC Greensboro,https://stats.ncaa.org/teams/574141,http://www.uncgspartans.com
212,UNCW,https://stats.ncaa.org/teams/574142,http://www.uncwsports.com
213,Nebraska,https://stats.ncaa.org/teams/574143,http://www.huskers.com
